municipio,cnpj_orgao,orgao_nome,modalidade,ano,sequencial,item_numero,descricao,unidade,qtd,valor_unitario,valor_total
Caeté,22257307000105,"FUNDACAO EDUCACIONAL DE CAETE",8,2024,13,1,"PAPEL A4 CHAMEQUINHO 75G ROSA C 100",PACOTE,20.0,26.9,538.0
Caeté,22257307000105,"FUNDACAO EDUCACIONAL DE CAETE",8,2024,13,8,"PAPEL A4 CHAMEQUINHO 75 G AMARELO C  100",PACOTE,4.0,12.9,51.6
